# token|class|pressure_delta|provocation_delta|phrase
HARD_WORD|PRESSURE|0.12|0.02|You sure about that?
CALL_OUT|CHALLENGE|0.10|0.10|I don't believe you.
YOUR_MOVE|PRESSURE|0.08|0.01|Your move.
BIG_POT|INTIMIDATE|0.13|0.03|That's a lot of chips.
NERVOUS|INTIMIDATE|0.16|0.06|You look nervous.
TAKE_TIME|NEEDLE|0.07|0.08|Take your time.
ALL_DAY|NEEDLE|0.08|0.07|I've got all day.
GOOD_FOLD|NEEDLE|0.05|0.12|Good fold.
LIKE_HAND|CLAIM|0.09|0.05|I like my hand.
NOT_SCARED|CHALLENGE|0.08|0.12|I'm not scared of that.
NICE_HAND|RESPECT|-0.08|-0.05|Nice hand.
FAIR_ENOUGH|RESPECT|-0.05|-0.04|Fair enough.
