event_id	generation	channels	size_bytes	historical_mtime	classification_append_index	metadata_seed_allowed
evt_000000	gen1_legacy	2	882044	May18 03:51	1	no
evt_000001	gen1_legacy	2	882044	May18 03:51	4	no
evt_000002	gen1_legacy	2	882044	May18 03:51	29	no
evt_000003	gen1_legacy	2	882044	May18 03:52	55	no
evt_000004	gen1_legacy	2	882044	May18 03:51	30	no
evt_000005	gen1_legacy	2	882044	May18 03:51	31	no
evt_000006	gen1_legacy	2	882044	May18 03:52	61	no
evt_000007	gen1_legacy	2	882044	May18 03:51	2	no
evt_000008	gen1_legacy	2	882044	May18 03:51	8	no
evt_000009	gen1_legacy	2	882044	May18 03:52	58	no
evt_000010	gen1_legacy	2	882044	May18 03:52	56	no
evt_000011	gen1_legacy	2	882044	May18 03:51	16	no
evt_000012	gen1_legacy	2	882044	May18 03:51	5	no
evt_000013	gen1_legacy	2	882044	May18 03:51	10	no
evt_000014	gen1_legacy	2	882044	May18 03:51	27	no
evt_000015	gen1_legacy	2	882044	May18 03:52	66	no
evt_000016	gen1_legacy	2	882044	May18 03:51	12	no
evt_000017	gen1_legacy	2	882044	May18 03:51	20	no
evt_000018	gen1_legacy	2	882044	May18 03:51	22	no
evt_000019	gen1_legacy	2	882044	May18 03:52	52	no
evt_000020	gen1_legacy	2	882044	May18 03:51	34	no
evt_000021	gen1_legacy	2	882044	May18 03:52	49	no
evt_000022	gen1_legacy	2	882044	May18 03:51	25	no
evt_000023	gen1_legacy	2	882044	May18 03:52	64	no
evt_000024	gen1_legacy	2	882044	May18 03:52	44	no
evt_000025	gen1_legacy	2	882044	May18 03:52	59	no
evt_000026	gen1_legacy	2	882044	May18 03:51	24	no
evt_000027	gen1_legacy	2	882044	May18 03:51	3	no
evt_000028	gen1_legacy	2	882044	May18 03:52	42	no
evt_000029	gen1_legacy	2	882044	May18 03:52	63	no
evt_000030	gen1_legacy	2	882044	May18 03:51	32	no
evt_000031	gen1_legacy	2	882044	May18 03:52	45	no
evt_000032	gen1_legacy	2	882044	May18 03:51	39	no
evt_000033	gen1_legacy	2	882044	May18 03:52	43	no
evt_000034	gen1_legacy	2	882044	May18 03:51	7	no
evt_000035	gen1_legacy	2	882044	May18 03:52	71	no
evt_000036	gen1_legacy	2	882044	May18 03:51	11	no
evt_000037	gen1_legacy	2	882044	May18 03:51	38	no
evt_000038	gen1_legacy	2	882044	May18 03:51	19	no
evt_000039	gen1_legacy	2	882044	May18 03:52	40	no
evt_000040	gen1_legacy	2	882044	May18 03:51	17	no
evt_000041	gen1_legacy	2	882044	May18 03:51	36	no
evt_000042	gen1_legacy	2	882044	May18 03:52	54	no
evt_000043	gen1_legacy	2	882044	May18 03:52	65	no
evt_000044	gen1_legacy	2	882044	May18 03:52	60	no
evt_000045	gen1_legacy	2	882044	May18 03:51	18	no
evt_000046	gen1_legacy	2	882044	May18 03:51	6	no
evt_000047	gen1_legacy	2	882044	May18 03:51	23	no
evt_000048	gen1_legacy	2	882044	May18 03:52	68	no
evt_000049	gen1_legacy	2	882044	May18 03:51	21	no
evt_000050	gen1_legacy	2	882044	May18 03:52	41	no
evt_000051	gen1_legacy	2	882044	May18 03:52	67	no
evt_000052	gen1_legacy	2	882044	May18 03:52	62	no
evt_000053	gen1_legacy	2	882044	May18 03:52	70	no
evt_000054	gen1_legacy	2	882044	May18 03:51	9	no
evt_000055	gen1_legacy	2	882044	May18 03:51	13	no
evt_000056	gen1_legacy	2	882044	May18 03:51	15	no
evt_000057	gen1_legacy	2	882044	May18 03:51	37	no
evt_000058	gen1_legacy	2	882044	May18 03:51	26	no
evt_000059	gen1_legacy	2	882044	May18 03:51	14	no
evt_000060	gen1_legacy	2	882044	May18 03:51	33	no
evt_000061	gen1_legacy	2	882044	May18 03:52	50	no
evt_000062	gen1_legacy	2	882044	May18 03:51	28	no
evt_000063	gen1_legacy	2	882044	May18 03:52	47	no
evt_000064	gen1_legacy	2	882044	May18 03:52	69	no
evt_000065	gen1_legacy	2	882044	May18 03:51	35	no
evt_000066	gen1_legacy	2	882044	May18 03:52	48	no
evt_000067	gen1_legacy	2	882044	May18 03:52	51	no
evt_000068	gen1_legacy	2	882044	May18 03:52	57	no
evt_000069	gen1_legacy	2	882044	May18 03:52	53	no
evt_000070	gen1_legacy	2	882044	May18 03:52	46	no
evt_000071	gen2_legacy	2	882044	May18 04:26	371	no
evt_000072	gen2_legacy	2	882044	May18 04:24	220	no
evt_000074	gen3_current801	2	882044	May18 09:58	639	yes
evt_000075	gen2_legacy	2	882044	May18 04:24	227	no
evt_000076	gen2_legacy	2	882044	May18 04:23	105	no
evt_000077	gen2_legacy	2	882044	May18 04:23	112	no
evt_000078	gen2_legacy	2	882044	May18 04:23	156	no
evt_000079	gen2_legacy	2	882044	May18 04:23	153	no
evt_000080	gen2_legacy	2	882044	May18 04:25	288	no
evt_000081	gen2_legacy	2	882044	May18 04:24	192	no
evt_000082	gen3_current801	2	882044	May18 09:59	667	yes
evt_000085	gen2_legacy	2	882044	May18 04:23	173	no
evt_000086	gen2_legacy	2	882044	May18 04:25	285	no
evt_000087	gen2_legacy	2	882044	May18 04:24	199	no
evt_000090	gen3_current801	2	882044	May18 09:57	567	yes
evt_000091	gen3_current801	2	882044	May18 09:58	624	yes
evt_000092	gen2_legacy	2	882044	May18 04:24	223	no
evt_000093	gen2_legacy	2	882044	May18 04:25	267	no
evt_000094	gen2_legacy	2	882044	May18 04:25	270	no
evt_000095	gen2_legacy	2	882044	May18 04:24	215	no
evt_000096	gen2_legacy	2	882044	May18 04:25	309	no
evt_000097	gen2_legacy	2	882044	May18 04:24	252	no
evt_000098	gen2_legacy	2	882044	May18 04:23	177	no
evt_000099	gen2_legacy	2	882044	May18 04:25	268	no
evt_000101	gen2_legacy	2	882044	May18 04:24	185	no
evt_000102	gen2_legacy	2	882044	May18 04:24	207	no
evt_000103	gen2_legacy	2	882044	May18 04:23	162	no
evt_000104	gen2_legacy	2	882044	May18 04:23	148	no
evt_000105	gen2_legacy	2	882044	May18 04:23	174	no
evt_000106	gen2_legacy	2	882044	May18 04:25	318	no
evt_000107	gen2_legacy	2	882044	May18 04:23	126	no
evt_000108	gen3_current801	2	882044	May18 09:58	595	yes
evt_000111	gen3_current801	2	882044	May18 09:57	574	yes
evt_000112	gen2_legacy	2	882044	May18 04:23	161	no
evt_000113	gen2_legacy	2	882044	May18 04:24	256	no
evt_000114	gen2_legacy	2	882044	May18 04:24	204	no
evt_000116	gen3_current801	2	882044	May18 09:58	650	yes
evt_000117	gen2_legacy	2	882044	May18 04:24	222	no
evt_000118	gen2_legacy	2	882044	May18 04:24	209	no
evt_000119	gen2_legacy	2	882044	May18 04:24	229	no
evt_000122	gen2_legacy	2	882044	May18 04:25	337	no
evt_000123	gen3_current801	2	882044	May18 09:58	614	yes
evt_000124	gen2_legacy	2	882044	May18 04:25	311	no
evt_000127	gen2_legacy	2	882044	May18 04:24	194	no
evt_000128	gen2_legacy	2	882044	May18 04:23	165	no
evt_000129	gen2_legacy	2	882044	May18 04:24	191	no
evt_000130	gen2_legacy	2	882044	May18 04:26	351	no
evt_000131	gen2_legacy	2	882044	May18 04:25	257	no
evt_000132	gen2_legacy	2	882044	May18 04:24	188	no
evt_000134	gen3_current801	2	882044	May18 09:57	511	yes
evt_000136	gen2_legacy	2	882044	May18 04:23	149	no
evt_000138	gen3_current801	2	882044	May18 09:56	471	yes
evt_000143	gen3_current801	2	882044	May18 09:57	504	yes
evt_000146	gen2_legacy	2	882044	May18 04:24	254	no
evt_000147	gen3_current801	2	882044	May18 09:56	424	yes
evt_000148	gen3_current801	2	882044	May18 09:56	463	yes
evt_000149	gen2_legacy	2	882044	May18 04:25	283	no
evt_000150	gen2_legacy	2	882044	May18 04:26	369	no
evt_000151	gen2_legacy	2	882044	May18 04:24	195	no
evt_000154	gen2_legacy	2	882044	May18 04:25	263	no
evt_000155	gen3_current801	2	882044	May18 09:57	506	yes
evt_000157	gen3_current801	2	882044	May18 09:58	625	yes
evt_000159	gen3_current801	2	882044	May18 09:56	495	yes
evt_000160	gen3_current801	2	882044	May18 09:57	521	yes
evt_000166	gen3_current801	2	882044	May18 09:58	590	yes
evt_000167	gen3_current801	2	882044	May18 09:58	606	yes
evt_000171	gen3_current801	2	882044	May18 09:58	627	yes
evt_000172	gen3_current801	2	882044	May18 09:58	607	yes
evt_000176	gen2_legacy	2	882044	May18 04:25	313	no
evt_000177	gen3_current801	2	882044	May18 09:57	532	yes
evt_000179	gen3_current801	2	882044	May18 09:57	497	yes
evt_000180	gen3_current801	2	882044	May18 09:58	588	yes
evt_000181	gen3_current801	2	882044	May18 09:58	589	yes
evt_000182	gen2_legacy	2	882044	May18 04:26	359	no
evt_000185	gen3_current801	2	882044	May18 09:58	656	yes
evt_000186	gen3_current801	2	882044	May18 09:58	603	yes
evt_000187	gen3_current801	2	882044	May18 09:58	648	yes
evt_000188	gen3_current801	2	882044	May18 09:58	645	yes
evt_000189	gen2_legacy	2	882044	May18 04:25	260	no
evt_000192	gen3_current801	2	882044	May18 09:58	613	yes
evt_000196	gen3_current801	2	882044	May18 09:56	493	yes
evt_000200	gen2_legacy	2	882044	May18 04:25	324	no
evt_000201	gen3_current801	2	882044	May18 09:56	464	yes
evt_000202	gen3_current801	2	882044	May18 09:58	597	yes
evt_000203	gen3_current801	2	882044	May18 09:55	387	yes
evt_000204	gen2_legacy	2	882044	May18 04:23	158	no
evt_000205	gen3_current801	2	882044	May18 09:57	524	yes
evt_000206	gen2_legacy	2	882044	May18 04:23	170	no
evt_000207	gen3_current801	2	882044	May18 09:56	436	yes
evt_000208	gen3_current801	2	882044	May18 09:56	494	yes
evt_000210	gen2_legacy	2	882044	May18 04:23	175	no
evt_000211	gen3_current801	2	882044	May18 09:58	580	yes
evt_000212	gen3_current801	2	882044	May18 09:55	376	yes
evt_000214	gen3_current801	2	882044	May18 09:55	375	yes
evt_000215	gen3_current801	2	882044	May18 09:56	460	yes
evt_000217	gen3_current801	2	882044	May18 09:57	518	yes
evt_000220	gen2_legacy	2	882044	May18 04:23	155	no
evt_000224	gen2_legacy	2	882044	May18 04:24	221	no
evt_000226	gen3_current801	2	882044	May18 09:56	487	yes
evt_000227	gen3_current801	2	882044	May18 09:56	418	yes
evt_000231	gen3_current801	2	882044	May18 09:56	475	yes
evt_000232	gen3_current801	2	882044	May18 09:56	453	yes
evt_000234	gen3_current801	2	882044	May18 09:57	552	yes
evt_000235	gen2_legacy	2	882044	May18 04:24	238	no
evt_000236	gen3_current801	2	882044	May18 09:57	577	yes
evt_000237	gen2_legacy	2	882044	May18 04:25	335	no
evt_000238	gen3_current801	2	882044	May18 09:59	671	yes
evt_000240	gen2_legacy	2	882044	May18 04:26	343	no
evt_000243	gen2_legacy	2	882044	May18 04:25	332	no
evt_000249	gen3_current801	2	882044	May18 09:58	636	yes
evt_000250	gen3_current801	2	882044	May18 09:57	516	yes
evt_000251	gen3_current801	2	882044	May18 09:56	467	yes
evt_000252	gen3_current801	2	882044	May18 09:55	381	yes
evt_000254	gen2_legacy	2	882044	May18 04:23	125	no
evt_000256	gen3_current801	2	882044	May18 09:57	569	yes
evt_000258	gen3_current801	2	882044	May18 09:57	526	yes
evt_000260	gen2_legacy	2	882044	May18 04:23	114	no
evt_000261	gen3_current801	2	882044	May18 09:58	610	yes
evt_000262	gen3_current801	2	882044	May18 09:58	591	yes
evt_000263	gen2_legacy	2	882044	May18 04:23	132	no
evt_000264	gen2_legacy	2	882044	May18 04:23	134	no
evt_000265	gen2_legacy	2	882044	May18 04:23	152	no
evt_000266	gen2_legacy	2	882044	May18 04:23	104	no
evt_000267	gen2_legacy	2	882044	May18 04:26	347	no
evt_000268	gen3_current801	2	882044	May18 09:56	448	yes
evt_000269	gen2_legacy	2	882044	May18 04:23	101	no
evt_000270	gen2_legacy	2	882044	May18 04:25	282	no
evt_000271	gen2_legacy	2	882044	May18 04:25	334	no
evt_000273	gen2_legacy	2	882044	May18 04:23	172	no
evt_000277	gen3_current801	2	882044	May18 09:58	651	yes
evt_000278	gen3_current801	2	882044	May18 09:59	661	yes
evt_000279	gen2_legacy	2	882044	May18 04:24	255	no
evt_000280	gen3_current801	2	882044	May18 09:56	449	yes
evt_000281	gen3_current801	2	882044	May18 09:57	499	yes
evt_000282	gen2_legacy	2	882044	May18 04:23	102	no
evt_000283	gen2_legacy	2	882044	May18 04:25	266	no
evt_000285	gen2_legacy	2	882044	May18 04:23	137	no
evt_000286	gen3_current801	2	882044	May18 09:57	520	yes
evt_000287	gen2_legacy	2	882044	May18 04:26	360	no
evt_000291	gen2_legacy	2	882044	May18 04:25	329	no
evt_000292	gen3_current801	2	882044	May18 09:58	643	yes
evt_000293	gen2_legacy	2	882044	May18 04:25	284	no
evt_000294	gen3_current801	2	882044	May18 09:57	553	yes
evt_000295	gen2_legacy	2	882044	May18 04:26	355	no
evt_000297	gen3_current801	2	882044	May18 09:56	489	yes
evt_000298	gen3_current801	2	882044	May18 09:59	662	yes
evt_000299	gen3_current801	2	882044	May18 09:57	558	yes
evt_000302	gen3_current801	2	882044	May18 09:57	570	yes
evt_000303	gen2_legacy	2	882044	May18 04:23	127	no
evt_000304	gen2_legacy	2	882044	May18 04:25	319	no
evt_000306	gen3_current801	2	882044	May18 09:58	659	yes
evt_000307	gen3_current801	2	882044	May18 09:57	539	yes
evt_000308	gen3_current801	2	882044	May18 09:56	431	yes
evt_000309	gen3_current801	2	882044	May18 09:56	451	yes
evt_000310	gen3_current801	2	882044	May18 09:57	500	yes
evt_000311	gen3_current801	2	882044	May18 09:56	443	yes
evt_000312	gen2_legacy	2	882044	May18 04:23	139	no
evt_000313	gen3_current801	2	882044	May18 09:57	501	yes
evt_000314	gen2_legacy	2	882044	May18 04:23	160	no
evt_000316	gen2_legacy	2	882044	May18 04:24	244	no
evt_000317	gen3_current801	2	882044	May18 09:55	414	yes
evt_000318	gen3_current801	2	882044	May18 09:57	503	yes
evt_000320	gen3_current801	2	882044	May18 09:58	635	yes
evt_000322	gen3_current801	2	882044	May18 09:56	480	yes
evt_000323	gen3_current801	2	882044	May18 09:56	466	yes
evt_000324	gen3_current801	2	882044	May18 09:58	641	yes
evt_000327	gen3_current801	2	882044	May18 09:57	575	yes
evt_000329	gen3_current801	2	882044	May18 09:58	654	yes
evt_000330	gen3_current801	2	882044	May18 09:58	646	yes
evt_000332	gen2_legacy	2	882044	May18 04:23	146	no
evt_000333	gen3_current801	2	882044	May18 09:55	403	yes
evt_000334	gen2_legacy	2	882044	May18 04:24	241	no
evt_000336	gen3_current801	2	882044	May18 09:59	663	yes
evt_000338	gen2_legacy	2	882044	May18 04:25	333	no
evt_000340	gen3_current801	2	882044	May18 09:58	609	yes
evt_000341	gen3_current801	2	882044	May18 09:56	465	yes
evt_000343	gen3_current801	2	882044	May18 09:57	515	yes
evt_000344	gen3_current801	2	882044	May18 09:56	456	yes
evt_000346	gen2_legacy	2	882044	May18 04:25	301	no
evt_000348	gen3_current801	2	882044	May18 09:55	380	yes
evt_000349	gen2_legacy	2	882044	May18 04:25	327	no
evt_000350	gen2_legacy	2	882044	May18 04:26	346	no
evt_000351	gen3_current801	2	882044	May18 09:55	372	yes
evt_000352	gen3_current801	2	882044	May18 09:58	600	yes
evt_000354	gen2_legacy	2	882044	May18 04:25	331	no
evt_000355	gen2_legacy	2	882044	May18 04:25	320	no
evt_000357	gen2_legacy	2	882044	May18 04:26	342	no
evt_000358	gen3_current801	2	882044	May18 09:58	582	yes
evt_000359	gen3_current801	2	882044	May18 09:59	660	yes
evt_000360	gen3_current801	2	882044	May18 09:57	561	yes
evt_000363	gen3_current801	2	882044	May18 09:58	585	yes
evt_000364	gen2_legacy	2	882044	May18 04:26	365	no
evt_000366	gen2_legacy	2	882044	May18 04:25	273	no
evt_000368	gen2_legacy	2	882044	May18 04:24	235	no
evt_000369	gen2_legacy	2	882044	May18 04:26	370	no
evt_000370	gen3_current801	2	882044	May18 09:56	461	yes
evt_000372	gen3_current801	2	882044	May18 09:57	548	yes
evt_000373	gen3_current801	2	882044	May18 09:56	444	yes
evt_000374	gen3_current801	2	882044	May18 09:56	477	yes
evt_000375	gen2_legacy	2	882044	May18 04:25	295	no
evt_000376	gen3_current801	2	882044	May18 09:57	545	yes
evt_000378	gen3_current801	2	882044	May18 09:56	462	yes
evt_000379	gen3_current801	2	882044	May18 09:56	419	yes
evt_000380	gen3_current801	2	882044	May18 09:58	578	yes
evt_000381	gen3_current801	2	882044	May18 09:55	398	yes
evt_000382	gen3_current801	2	882044	May18 09:55	390	yes
evt_000385	gen3_current801	2	882044	May18 09:58	655	yes
evt_000386	gen3_current801	2	882044	May18 09:59	665	yes
evt_000387	gen3_current801	2	882044	May18 09:56	473	yes
evt_000388	gen3_current801	2	882044	May18 09:57	560	yes
evt_000389	gen3_current801	2	882044	May18 09:55	399	yes
evt_000390	gen3_current801	2	882044	May18 09:57	536	yes
evt_000393	gen2_legacy	2	882044	May18 04:25	336	no
evt_000394	gen3_current801	2	882044	May18 09:56	432	yes
evt_000395	gen3_current801	2	882044	May18 09:55	409	yes
evt_000396	gen3_current801	2	882044	May18 09:58	657	yes
evt_000398	gen3_current801	2	882044	May18 09:56	470	yes
evt_000399	gen2_legacy	2	882044	May18 04:25	265	no
evt_000401	gen3_current801	2	882044	May18 09:58	611	yes
evt_000402	gen3_current801	2	882044	May18 09:58	598	yes
evt_000403	gen3_current801	2	882044	May18 09:56	445	yes
evt_000404	gen3_current801	2	882044	May18 09:56	429	yes
evt_000405	gen2_legacy	2	882044	May18 04:25	272	no
evt_000406	gen2_legacy	2	882044	May18 04:25	325	no
evt_000407	gen3_current801	2	882044	May18 09:57	505	yes
evt_000409	gen3_current801	2	882044	May18 09:56	452	yes
evt_000410	gen3_current801	2	882044	May18 09:56	423	yes
evt_000411	gen3_current801	2	882044	May18 09:56	481	yes
evt_000412	gen3_current801	2	882044	May18 09:57	541	yes
evt_000413	gen2_legacy	2	882044	May18 04:25	304	no
evt_000416	gen3_current801	2	882044	May18 09:56	492	yes
evt_000417	gen2_legacy	2	882044	May18 04:25	279	no
evt_000418	gen3_current801	2	882044	May18 09:57	573	yes
evt_000419	gen3_current801	2	882044	May18 09:56	430	yes
evt_000420	gen3_current801	2	882044	May18 09:57	517	yes
evt_000421	gen3_current801	2	882044	May18 09:58	638	yes
evt_000422	gen3_current801	2	882044	May18 09:57	563	yes
evt_000423	gen3_current801	2	882044	May18 09:56	417	yes
evt_000425	gen3_current801	2	882044	May18 09:56	468	yes
evt_000427	gen3_current801	2	882044	May18 09:55	389	yes
evt_000429	gen3_current801	2	882044	May18 09:59	664	yes
evt_000430	gen2_legacy	2	882044	May18 04:26	353	no
evt_000431	gen2_legacy	2	882044	May18 04:23	168	no
evt_000432	gen3_current801	2	882044	May18 09:56	420	yes
evt_000435	gen3_current801	2	882044	May18 09:58	637	yes
evt_000436	gen3_current801	2	882044	May18 09:56	484	yes
evt_000437	gen3_current801	2	882044	May18 09:55	383	yes
evt_000440	gen3_current801	2	882044	May18 09:58	626	yes
evt_000441	gen3_current801	2	882044	May18 09:55	410	yes
evt_000442	gen3_current801	2	882044	May18 09:57	542	yes
evt_000443	gen2_legacy	2	882044	May18 04:25	293	no
evt_000444	gen3_current801	2	882044	May18 09:57	576	yes
evt_000446	gen3_current801	2	882044	May18 09:55	407	yes
evt_000447	gen2_legacy	2	882044	May18 04:25	323	no
evt_000448	gen3_current801	2	882044	May18 09:56	472	yes
evt_000450	gen3_current801	2	882044	May18 09:56	485	yes
evt_000451	gen3_current801	2	882044	May18 09:56	434	yes
evt_000452	gen2_legacy	2	882044	May18 04:25	275	no
evt_000454	gen3_current801	2	882044	May18 09:57	564	yes
evt_000455	gen3_current801	2	882044	May18 09:57	519	yes
evt_000456	gen2_legacy	2	882044	May18 04:24	242	no
evt_000457	gen2_legacy	2	882044	May18 04:24	232	no
evt_000458	gen3_current801	2	882044	May18 09:58	586	yes
evt_000459	gen3_current801	2	882044	May18 09:55	393	yes
evt_000462	gen3_current801	2	882044	May18 09:55	395	yes
evt_000463	gen3_current801	2	882044	May18 09:56	496	yes
evt_000465	gen2_legacy	2	882044	May18 04:25	259	no
evt_000466	gen2_legacy	2	882044	May18 04:24	243	no
evt_000468	gen2_legacy	2	882044	May18 04:24	240	no
evt_000470	gen2_legacy	2	882044	May18 04:25	302	no
evt_000471	gen2_legacy	2	882044	May18 04:25	316	no
evt_000472	gen2_legacy	2	882044	May18 04:24	179	no
